district,date,month,year,visitors
Jayashankar Bhoopalpally,2016-01-07,July,2016,0
Jayashankar Bhoopalpally,2016-01-08,August,2016,0
Jayashankar Bhoopalpally,2016-01-09,September,2016,0
Jayashankar Bhoopalpally,2016-01-10,October,2016,24
Jayashankar Bhoopalpally,2016-01-11,November,2016,22
Jayashankar Bhoopalpally,2016-01-12,December,2016,40
Jogulamba Gadwal ,2016-01-01,January,2016,0
Jogulamba Gadwal ,2016-01-02,February,2016,0
Jogulamba Gadwal ,2016-01-03,March,2016,0
Jogulamba Gadwal ,2016-01-04,April,2016,0
Jogulamba Gadwal ,2016-01-05,May,2016,0
Jogulamba Gadwal ,2016-01-06,June,2016,0
Jogulamba Gadwal ,2016-01-07,July,2016,0
Jogulamba Gadwal ,2016-01-08,August,2016,0
Jogulamba Gadwal ,2016-01-09,September,2016,0
Jogulamba Gadwal ,2016-01-10,October,2016,13
Jogulamba Gadwal ,2016-01-11,November,2016,21
Jogulamba Gadwal ,2016-01-12,December,2016,11
Kamareddy ,2016-01-01,January,2016,0
Kamareddy ,2016-01-02,February,2016,0
Kamareddy ,2016-01-03,March,2016,0
Kamareddy ,2016-01-04,April,2016,0
Kamareddy ,2016-01-05,May,2016,0
Kamareddy ,2016-01-06,June,2016,0
Kamareddy ,2016-01-07,July,2016,0
Kamareddy ,2016-01-08,August,2016,0
Kamareddy ,2016-01-09,September,2016,0
Kamareddy ,2016-01-10,October,2016,0
Kamareddy ,2016-01-11,November,2016,0
Kamareddy ,2016-01-12,December,2016,0
Karimnagar ,2016-01-01,January,2016,0
Karimnagar ,2016-01-02,February,2016,0
Karimnagar ,2016-01-03,March,2016,0
Karimnagar ,2016-01-04,April,2016,0
Karimnagar ,2016-01-05,May,2016,0
Karimnagar ,2016-01-06,June,2016,0
Karimnagar ,2016-01-07,July,2016,0
Karimnagar ,2016-01-08,August,2016,0
Karimnagar ,2016-01-09,September,2016,0
Karimnagar ,2016-01-10,October,2016,0
Karimnagar ,2016-01-11,November,2016,0
Karimnagar ,2016-01-12,December,2016,0
Khammam,2016-01-01,January,2016,0
Khammam,2016-01-02,February,2016,0
Khammam,2016-01-03,March,2016,0
Khammam,2016-01-04,April,2016,0
Khammam,2016-01-05,May,2016,0
Khammam,2016-01-06,June,2016,0
Khammam,2016-01-07,July,2016,0
Khammam,2016-01-08,August,2016,0
Khammam,2016-01-09,September,2016,0
Khammam,2016-01-10,October,2016,0
Khammam,2016-01-11,November,2016,0
Khammam,2016-01-12,December,2016,0
Komaram Bheem Asifabad,2016-01-01,January,2016,0
Komaram Bheem Asifabad,2016-01-02,February,2016,0
Komaram Bheem Asifabad,2016-01-03,March,2016,0
Komaram Bheem Asifabad,2016-01-04,April,2016,0
Komaram Bheem Asifabad,2016-01-05,May,2016,0
Komaram Bheem Asifabad,2016-01-06,June,2016,0
Komaram Bheem Asifabad,2016-01-07,July,2016,0
Komaram Bheem Asifabad,2016-01-08,August,2016,0
Komaram Bheem Asifabad,2016-01-09,September,2016,0
Komaram Bheem Asifabad,2016-01-10,October,2016,0
Komaram Bheem Asifabad,2016-01-11,November,2016,0
Komaram Bheem Asifabad,2016-01-12,December,2016,0
Mahabubabad ,2016-01-01,January,2016,0
Mahabubabad ,2016-01-02,February,2016,0
Mahabubabad ,2016-01-03,March,2016,0
Mahabubabad ,2016-01-04,April,2016,0
Mahabubabad ,2016-01-05,May,2016,0
Mahabubabad ,2016-01-06,June,2016,0
Mahabubabad ,2016-01-07,July,2016,0
Mahabubabad ,2016-01-08,August,2016,0
Mahabubabad ,2016-01-09,September,2016,0
Mahabubabad ,2016-01-10,October,2016,0
Mahabubabad ,2016-01-11,November,2016,0
Mahabubabad ,2016-01-12,December,2016,0
Mahbubnagar,2016-01-01,January,2016,123
Mahbubnagar,2016-01-02,February,2016,126
Mahbubnagar,2016-01-03,March,2016,103
Mahbubnagar,2016-01-04,April,2016,75
Mahbubnagar,2016-01-05,May,2016,58
Mahbubnagar,2016-01-06,June,2016,68
Mahbubnagar,2016-01-07,July,2016,63
Mahbubnagar,2016-01-08,August,2016,86
Mahbubnagar,2016-01-09,September,2016,74
Mahbubnagar,2016-01-10,October,2016,37
Mahbubnagar,2016-01-11,November,2016,29
Mahbubnagar,2016-01-12,December,2016,26
Mancherial,2016-01-01,January,2016,0
Mancherial,2016-01-02,February,2016,0
Mancherial,2016-01-03,March,2016,0
Mancherial,2016-01-04,April,2016,0
Mancherial,2016-01-05,May,2016,0
Mancherial,2016-01-06,June,2016,0
Mancherial,2016-01-07,July,2016,0
Mancherial,2016-01-08,August,2016,0
Mancherial,2016-01-09,September,2016,0
Mancherial,2016-01-10,October,2016,0
Mancherial,2016-01-11,November,2016,0
Mancherial,2016-01-12,December,2016,0
Medak ,2016-01-01,January,2016,0
Medak ,2016-01-02,February,2016,0
Medak ,2016-01-03,March,2016,0
Medak ,2016-01-04,April,2016,0
Medak ,2016-01-05,May,2016,0
Medak ,2016-01-06,June,2016,0
Medak ,2016-01-07,July,2016,0
Medak ,2016-01-08,August,2016,0
Medak ,2016-01-09,September,2016,0
Medak ,2016-01-10,October,2016,0
Medak ,2016-01-11,November,2016,0
Medak ,2016-01-12,December,2016,0
Medchal ,2016-01-01,January,2016,0
Medchal ,2016-01-02,February,2016,0
Medchal ,2016-01-03,March,2016,0
Medchal ,2016-01-04,April,2016,0
Medchal ,2016-01-05,May,2016,0
Medchal ,2016-01-06,June,2016,0
Medchal ,2016-01-07,July,2016,0
Medchal ,2016-01-08,August,2016,0
Medchal ,2016-01-09,September,2016,0
Medchal ,2016-01-10,October,2016,0
Medchal ,2016-01-11,November,2016,0
Medchal ,2016-01-12,December,2016,0
Nagarkurnool ,2016-01-01,January,2016,0
Nagarkurnool ,2016-01-02,February,2016,0
Nagarkurnool ,2016-01-03,March,2016,0
Nagarkurnool ,2016-01-04,April,2016,0
Nagarkurnool ,2016-01-05,May,2016,0
Nagarkurnool ,2016-01-06,June,2016,0
Nagarkurnool ,2016-01-07,July,2016,0
Nagarkurnool ,2016-01-08,August,2016,0
Nagarkurnool ,2016-01-09,September,2016,0
Nagarkurnool ,2016-01-10,October,2016,8
Nagarkurnool ,2016-01-11,November,2016,11
Nagarkurnool ,2016-01-12,December,2016,10
Nalgonda,2016-01-01,January,2016,0
Nalgonda,2016-01-02,February,2016,0
Nalgonda,2016-01-03,March,2016,0
Nalgonda,2016-01-04,April,2016,0
Nalgonda,2016-01-05,May,2016,0
Nalgonda,2016-01-06,June,2016,0
Nalgonda,2016-01-07,July,2016,0
Nalgonda,2016-01-08,August,2016,0
Nalgonda,2016-01-09,September,2016,0
Nalgonda,2016-01-10,October,2016,0
Nalgonda,2016-01-11,November,2016,0
Nalgonda,2016-01-12,December,2016,0
Nirmal,2016-01-01,January,2016,0
Nirmal,2016-01-02,February,2016,0
Nirmal,2016-01-03,March,2016,0
Nirmal,2016-01-04,April,2016,0
Nirmal,2016-01-05,May,2016,0
Nirmal,2016-01-06,June,2016,0
Nirmal,2016-01-07,July,2016,0
Nirmal,2016-01-08,August,2016,0
Nirmal,2016-01-09,September,2016,0
Nirmal,2016-01-10,October,2016,0
Nirmal,2016-01-11,November,2016,0
Nirmal,2016-01-12,December,2016,0
Nizamabad,2016-01-01,January,2016,0
Nizamabad,2016-01-02,February,2016,0
Nizamabad,2016-01-03,March,2016,0
Nizamabad,2016-01-04,April,2016,0
Nizamabad,2016-01-05,May,2016,0
Nizamabad,2016-01-06,June,2016,0
Nizamabad,2016-01-07,July,2016,0
Nizamabad,2016-01-08,August,2016,0
Nizamabad,2016-01-09,September,2016,0
Nizamabad,2016-01-10,October,2016,0
Nizamabad,2016-01-11,November,2016,0
Nizamabad,2016-01-12,December,2016,0
Peddapalli,2016-01-01,January,2016,0
Peddapalli,2016-01-02,February,2016,0
Peddapalli,2016-01-03,March,2016,0
Peddapalli,2016-01-04,April,2016,0
Peddapalli,2016-01-05,May,2016,0
Peddapalli,2016-01-06,June,2016,0
Peddapalli,2016-01-07,July,2016,0
Peddapalli,2016-01-08,August,2016,0
Peddapalli,2016-01-09,September,2016,0
Peddapalli,2016-01-10,October,2016,0
Peddapalli,2016-01-11,November,2016,0
Peddapalli,2016-01-12,December,2016,0
Rajanna Sircilla ,2016-01-01,January,2016,0
Rajanna Sircilla ,2016-01-02,February,2016,0
Rajanna Sircilla ,2016-01-03,March,2016,0
Rajanna Sircilla ,2016-01-04,April,2016,0
Rajanna Sircilla ,2016-01-05,May,2016,0
Rajanna Sircilla ,2016-01-06,June,2016,0
Rajanna Sircilla ,2016-01-07,July,2016,0
Rajanna Sircilla ,2016-01-08,August,2016,0
Rajanna Sircilla ,2016-01-09,September,2016,0
Rajanna Sircilla ,2016-01-10,October,2016,0
Rajanna Sircilla ,2016-01-11,November,2016,0
Rajanna Sircilla ,2016-01-12,December,2016,0
Ranga Reddy,2016-01-01,January,2016,0
Ranga Reddy,2016-01-02,February,2016,0
Ranga Reddy,2016-01-03,March,2016,0
Ranga Reddy,2016-01-04,April,2016,0
Ranga Reddy,2016-01-05,May,2016,0
Ranga Reddy,2016-01-06,June,2016,0
Ranga Reddy,2016-01-07,July,2016,0
Ranga Reddy,2016-01-08,August,2016,0
Ranga Reddy,2016-01-09,September,2016,0
Ranga Reddy,2016-01-10,October,2016,0
Ranga Reddy,2016-01-11,November,2016,0
Ranga Reddy,2016-01-12,December,2016,0
Sangareddy ,2016-01-01,January,2016,0
Sangareddy ,2016-01-02,February,2016,0
Sangareddy ,2016-01-03,March,2016,0
Sangareddy ,2016-01-04,April,2016,0
Sangareddy ,2016-01-05,May,2016,0
Sangareddy ,2016-01-06,June,2016,0
Sangareddy ,2016-01-07,July,2016,0
Sangareddy ,2016-01-08,August,2016,0
Sangareddy ,2016-01-09,September,2016,0
Sangareddy ,2016-01-10,October,2016,0
Sangareddy ,2016-01-11,November,2016,0
Sangareddy ,2016-01-12,December,2016,0
Siddipet,2016-01-01,January,2016,0
Siddipet,2016-01-02,February,2016,0
Siddipet,2016-01-03,March,2016,0
Siddipet,2016-01-04,April,2016,0
Siddipet,2016-01-05,May,2016,0
Siddipet,2016-01-06,June,2016,0
Siddipet,2016-01-07,July,2016,0
Siddipet,2016-01-08,August,2016,0
Siddipet,2016-01-09,September,2016,0
Siddipet,2016-01-10,October,2016,0
Siddipet,2016-01-11,November,2016,0
Siddipet,2016-01-12,December,2016,0
Suryapet,2016-01-01,January,2016,0
Suryapet,2016-01-02,February,2016,0
Suryapet,2016-01-03,March,2016,0
Suryapet,2016-01-04,April,2016,0
Suryapet,2016-01-05,May,2016,0
Suryapet,2016-01-06,June,2016,0
Suryapet,2016-01-07,July,2016,0
Suryapet,2016-01-08,August,2016,0
Suryapet,2016-01-09,September,2016,0
Suryapet,2016-01-10,October,2016,0
Suryapet,2016-01-11,November,2016,0
Suryapet,2016-01-12,December,2016,0
Vikarabad,2016-01-01,January,2016,0
Vikarabad,2016-01-02,February,2016,0
Vikarabad,2016-01-03,March,2016,0
Vikarabad,2016-01-04,April,2016,0
Vikarabad,2016-01-05,May,2016,0
Vikarabad,2016-01-06,June,2016,0
Vikarabad,2016-01-07,July,2016,0
Vikarabad,2016-01-08,August,2016,0
Vikarabad,2016-01-09,September,2016,0
Vikarabad,2016-01-10,October,2016,0
Vikarabad,2016-01-11,November,2016,0
Vikarabad,2016-01-12,December,2016,0
Wanaparthy ,2016-01-01,January,2016,0
Wanaparthy ,2016-01-02,February,2016,0
Wanaparthy ,2016-01-03,March,2016,0
Wanaparthy ,2016-01-04,April,2016,0
Wanaparthy ,2016-01-05,May,2016,0
Wanaparthy ,2016-01-06,June,2016,0
Wanaparthy ,2016-01-07,July,2016,0
Wanaparthy ,2016-01-08,August,2016,0
Wanaparthy ,2016-01-09,September,2016,0
Wanaparthy ,2016-01-10,October,2016,0
Wanaparthy ,2016-01-11,November,2016,0
Wanaparthy ,2016-01-12,December,2016,0
Warangal (Rural),2016-01-01,January,2016,0
Warangal (Rural),2016-01-02,February,2016,0
Warangal (Rural),2016-01-03,March,2016,0
Warangal (Rural),2016-01-04,April,2016,0
Warangal (Rural),2016-01-05,May,2016,0
Warangal (Rural),2016-01-06,June,2016,0
Warangal (Rural),2016-01-07,July,2016,0
Warangal (Rural),2016-01-08,August,2016,0
Warangal (Rural),2016-01-09,September,2016,0
Warangal (Rural),2016-01-10,October,2016,0
Warangal (Rural),2016-01-11,November,2016,0
Warangal (Rural),2016-01-12,December,2016,0
Warangal (Urban),2016-01-01,January,2016,459
Warangal (Urban),2016-01-02,February,2016,391
Warangal (Urban),2016-01-03,March,2016,230
Warangal (Urban),2016-01-04,April,2016,39
Warangal (Urban),2016-01-05,May,2016,82
Warangal (Urban),2016-01-06,June,2016,88
