district,date,month,year,visitors
Peddapalli,2017-01-09,September,2017,0
Peddapalli,2017-01-10,October,2017,0
Peddapalli,2017-01-11,November,2017,0
Peddapalli,2017-01-12,December,2017,0
Rajanna Sircilla ,2017-01-01,January,2017,0
Rajanna Sircilla ,2017-01-02,February,2017,0
Rajanna Sircilla ,2017-01-03,March,2017,0
Rajanna Sircilla ,2017-01-04,April,2017,0
Rajanna Sircilla ,2017-01-05,May,2017,0
Rajanna Sircilla ,2017-01-06,June,2017,0
Rajanna Sircilla ,2017-01-07,July,2017,0
Rajanna Sircilla ,2017-01-08,August,2017,0
Rajanna Sircilla ,2017-01-09,September,2017,0
Rajanna Sircilla ,2017-01-10,October,2017,0
Rajanna Sircilla ,2017-01-11,November,2017,0
Rajanna Sircilla ,2017-01-12,December,2017,0
Ranga Reddy,2017-01-01,January,2017,0
Ranga Reddy,2017-01-02,February,2017,0
Ranga Reddy,2017-01-03,March,2017,0
Ranga Reddy,2017-01-04,April,2017,0
Ranga Reddy,2017-01-05,May,2017,0
Ranga Reddy,2017-01-06,June,2017,0
Ranga Reddy,2017-01-07,July,2017,0
Ranga Reddy,2017-01-08,August,2017,0
Ranga Reddy,2017-01-09,September,2017,0
Ranga Reddy,2017-01-10,October,2017,0
Ranga Reddy,2017-01-11,November,2017,0
Ranga Reddy,2017-01-12,December,2017,0
Sangareddy ,2017-01-01,January,2017,0
Sangareddy ,2017-01-02,February,2017,0
Sangareddy ,2017-01-03,March,2017,0
Sangareddy ,2017-01-04,April,2017,0
Sangareddy ,2017-01-05,May,2017,0
Sangareddy ,2017-01-06,June,2017,0
Sangareddy ,2017-01-07,July,2017,0
Sangareddy ,2017-01-08,August,2017,0
Sangareddy ,2017-01-09,September,2017,0
Sangareddy ,2017-01-10,October,2017,0
Sangareddy ,2017-01-11,November,2017,0
Sangareddy ,2017-01-12,December,2017,0
Siddipet,2017-01-01,January,2017,0
Siddipet,2017-01-02,February,2017,0
Siddipet,2017-01-03,March,2017,0
Siddipet,2017-01-04,April,2017,0
Siddipet,2017-01-05,May,2017,0
Siddipet,2017-01-06,June,2017,0
Siddipet,2017-01-07,July,2017,0
Siddipet,2017-01-08,August,2017,0
Siddipet,2017-01-09,September,2017,0
Siddipet,2017-01-10,October,2017,0
Siddipet,2017-01-11,November,2017,0
Siddipet,2017-01-12,December,2017,0
Suryapet,2017-01-01,January,2017,0
Suryapet,2017-01-02,February,2017,0
Suryapet,2017-01-03,March,2017,0
Suryapet,2017-01-04,April,2017,0
Suryapet,2017-01-05,May,2017,0
Suryapet,2017-01-06,June,2017,0
Suryapet,2017-01-07,July,2017,0
Suryapet,2017-01-08,August,2017,0
Suryapet,2017-01-09,September,2017,0
Suryapet,2017-01-10,October,2017,0
Suryapet,2017-01-11,November,2017,0
Suryapet,2017-01-12,December,2017,0
Vikarabad,2017-01-01,January,2017,0
Vikarabad,2017-01-02,February,2017,0
Vikarabad,2017-01-03,March,2017,0
Vikarabad,2017-01-04,April,2017,0
Vikarabad,2017-01-05,May,2017,0
Vikarabad,2017-01-06,June,2017,0
Vikarabad,2017-01-07,July,2017,0
Vikarabad,2017-01-08,August,2017,0
Vikarabad,2017-01-09,September,2017,0
Vikarabad,2017-01-10,October,2017,0
Vikarabad,2017-01-11,November,2017,0
Vikarabad,2017-01-12,December,2017,0
Wanaparthy ,2017-01-01,January,2017,0
Wanaparthy ,2017-01-02,February,2017,0
Wanaparthy ,2017-01-03,March,2017,0
Wanaparthy ,2017-01-04,April,2017,0
Wanaparthy ,2017-01-05,May,2017,0
Wanaparthy ,2017-01-06,June,2017,0
Wanaparthy ,2017-01-07,July,2017,0
Wanaparthy ,2017-01-08,August,2017,0
Wanaparthy ,2017-01-09,September,2017,0
Wanaparthy ,2017-01-10,October,2017,0
Wanaparthy ,2017-01-11,November,2017,0
Wanaparthy ,2017-01-12,December,2017,0
Warangal (Rural),2017-01-01,January,2017,35
Warangal (Rural),2017-01-02,February,2017,25
Warangal (Rural),2017-01-03,March,2017,17
Warangal (Rural),2017-01-04,April,2017,19
Warangal (Rural),2017-01-05,May,2017,21
Warangal (Rural),2017-01-06,June,2017,24
Warangal (Rural),2017-01-07,July,2017,25
Warangal (Rural),2017-01-08,August,2017,28
Warangal (Rural),2017-01-09,September,2017,26
Warangal (Rural),2017-01-10,October,2017,25
Warangal (Rural),2017-01-11,November,2017,29
Warangal (Rural),2017-01-12,December,2017,32
Warangal (Urban),2017-01-01,January,2017,235
Warangal (Urban),2017-01-02,February,2017,242
Warangal (Urban),2017-01-03,March,2017,238
Warangal (Urban),2017-01-04,April,2017,209
Warangal (Urban),2017-01-05,May,2017,211
Warangal (Urban),2017-01-06,June,2017,194
Warangal (Urban),2017-01-07,July,2017,116
Warangal (Urban),2017-01-08,August,2017,219
Warangal (Urban),2017-01-09,September,2017,225
Warangal (Urban),2017-01-10,October,2017,236
Warangal (Urban),2017-01-11,November,2017,255
Warangal (Urban),2017-01-12,December,2017,250
Yadadri Bhongir,2017-01-01,January,2017,0
Yadadri Bhongir,2017-01-02,February,2017,0
Yadadri Bhongir,2017-01-03,March,2017,0
Yadadri Bhongir,2017-01-04,April,2017,0
Yadadri Bhongir,2017-01-05,May,2017,0
Yadadri Bhongir,2017-01-06,June,2017,0
Yadadri Bhongir,2017-01-07,July,2017,0
Yadadri Bhongir,2017-01-08,August,2017,0
Yadadri Bhongir,2017-01-09,September,2017,0
Yadadri Bhongir,2017-01-10,October,2017,0
Yadadri Bhongir,2017-01-11,November,2017,0
Yadadri Bhongir,2017-01-12,December,2017,0
Adilabad,2018-01-01,January,2018,0
Adilabad,2018-01-02,February,2018,0
Adilabad,2018-01-03,March,2018,0
Adilabad,2018-01-04,April,2018,0
Adilabad,2018-01-05,May,2018,0
Adilabad,2018-01-06,June,2018,0
Adilabad,2018-01-07,July,2018,2
Adilabad,2018-01-08,August,2018,3
Adilabad,2018-01-09,September,2018,0
Adilabad,2018-01-10,October,2018,0
Adilabad,2018-01-11,November,2018,0
Adilabad,2018-01-12,December,2018,0
Bhadradri Kothagudem ,2018-01-01,January,2018,0
Bhadradri Kothagudem ,2018-01-02,February,2018,0
Bhadradri Kothagudem ,2018-01-03,March,2018,0
Bhadradri Kothagudem ,2018-01-04,April,2018,0
Bhadradri Kothagudem ,2018-01-05,May,2018,0
Bhadradri Kothagudem ,2018-01-06,June,2018,0
Bhadradri Kothagudem ,2018-01-07,July,2018,0
Bhadradri Kothagudem ,2018-01-08,August,2018,0
Bhadradri Kothagudem ,2018-01-09,September,2018,0
Bhadradri Kothagudem ,2018-01-10,October,2018,0
Bhadradri Kothagudem ,2018-01-11,November,2018,0
Bhadradri Kothagudem ,2018-01-12,December,2018,0
Hyderabad,2018-01-01,January,2018,35379
Hyderabad,2018-01-02,February,2018,30414
Hyderabad,2018-01-03,March,2018,27535
Hyderabad,2018-01-04,April,2018,20830
Hyderabad,2018-01-05,May,2018,21554
Hyderabad,2018-01-06,June,2018,24677
Hyderabad,2018-01-07,July,2018,17456
Hyderabad,2018-01-08,August,2018,31217
Hyderabad,2018-01-09,September,2018,22809
Hyderabad,2018-01-10,October,2018,30072
Hyderabad,2018-01-11,November,2018,23487
Hyderabad,2018-01-12,December,2018,29358
Jagtial ,2018-01-01,January,2018,0
Jagtial ,2018-01-02,February,2018,0
Jagtial ,2018-01-03,March,2018,0
Jagtial ,2018-01-04,April,2018,0
Jagtial ,2018-01-05,May,2018,0
Jagtial ,2018-01-06,June,2018,0
Jagtial ,2018-01-07,July,2018,0
Jagtial ,2018-01-08,August,2018,0
Jagtial ,2018-01-09,September,2018,0
Jagtial ,2018-01-10,October,2018,0
Jagtial ,2018-01-11,November,2018,0
Jagtial ,2018-01-12,December,2018,0
Jangaon ,2018-01-01,January,2018,0
Jangaon ,2018-01-02,February,2018,0
Jangaon ,2018-01-03,March,2018,0
Jangaon ,2018-01-04,April,2018,0
Jangaon ,2018-01-05,May,2018,0
Jangaon ,2018-01-06,June,2018,0
Jangaon ,2018-01-07,July,2018,0
Jangaon ,2018-01-08,August,2018,0
Jangaon ,2018-01-09,September,2018,0
Jangaon ,2018-01-10,October,2018,0
Jangaon ,2018-01-11,November,2018,0
Jangaon ,2018-01-12,December,2018,0
Jayashankar Bhoopalpally,2018-01-01,January,2018,50
Jayashankar Bhoopalpally,2018-01-02,February,2018,60
Jayashankar Bhoopalpally,2018-01-03,March,2018,70
Jayashankar Bhoopalpally,2018-01-04,April,2018,45
Jayashankar Bhoopalpally,2018-01-05,May,2018,40
Jayashankar Bhoopalpally,2018-01-06,June,2018,35
Jayashankar Bhoopalpally,2018-01-07,July,2018,40
Jayashankar Bhoopalpally,2018-01-08,August,2018,35
Jayashankar Bhoopalpally,2018-01-09,September,2018,40
Jayashankar Bhoopalpally,2018-01-10,October,2018,40
Jayashankar Bhoopalpally,2018-01-11,November,2018,40
Jayashankar Bhoopalpally,2018-01-12,December,2018,44
Jogulamba Gadwal ,2018-01-01,January,2018,36
Jogulamba Gadwal ,2018-01-02,February,2018,6
Jogulamba Gadwal ,2018-01-03,March,2018,22
Jogulamba Gadwal ,2018-01-04,April,2018,15
Jogulamba Gadwal ,2018-01-05,May,2018,19
Jogulamba Gadwal ,2018-01-06,June,2018,19
Jogulamba Gadwal ,2018-01-07,July,2018,37
Jogulamba Gadwal ,2018-01-08,August,2018,42
Jogulamba Gadwal ,2018-01-09,September,2018,35
Jogulamba Gadwal ,2018-01-10,October,2018,13
Jogulamba Gadwal ,2018-01-11,November,2018,45
Jogulamba Gadwal ,2018-01-12,December,2018,11
Kamareddy ,2018-01-01,January,2018,0
Kamareddy ,2018-01-02,February,2018,0
Kamareddy ,2018-01-03,March,2018,0
Kamareddy ,2018-01-04,April,2018,0
Kamareddy ,2018-01-05,May,2018,0
Kamareddy ,2018-01-06,June,2018,0
Kamareddy ,2018-01-07,July,2018,0
Kamareddy ,2018-01-08,August,2018,0
Kamareddy ,2018-01-09,September,2018,0
Kamareddy ,2018-01-10,October,2018,0
Kamareddy ,2018-01-11,November,2018,0
Kamareddy ,2018-01-12,December,2018,0
Karimnagar ,2018-01-01,January,2018,0
Karimnagar ,2018-01-02,February,2018,0
Karimnagar ,2018-01-03,March,2018,0
Karimnagar ,2018-01-04,April,2018,0
Karimnagar ,2018-01-05,May,2018,0
Karimnagar ,2018-01-06,June,2018,0
Karimnagar ,2018-01-07,July,2018,0
Karimnagar ,2018-01-08,August,2018,0
Karimnagar ,2018-01-09,September,2018,0
Karimnagar ,2018-01-10,October,2018,0
Karimnagar ,2018-01-11,November,2018,0
Karimnagar ,2018-01-12,December,2018,0
Khammam,2018-01-01,January,2018,0
Khammam,2018-01-02,February,2018,0
Khammam,2018-01-03,March,2018,0
Khammam,2018-01-04,April,2018,0
Khammam,2018-01-05,May,2018,0
Khammam,2018-01-06,June,2018,0
Khammam,2018-01-07,July,2018,0
Khammam,2018-01-08,August,2018,0
Khammam,2018-01-09,September,2018,0
Khammam,2018-01-10,October,2018,0
Khammam,2018-01-11,November,2018,0
Khammam,2018-01-12,December,2018,0
Komaram Bheem Asifabad,2018-01-01,January,2018,0
Komaram Bheem Asifabad,2018-01-02,February,2018,0
Komaram Bheem Asifabad,2018-01-03,March,2018,0
Komaram Bheem Asifabad,2018-01-04,April,2018,0
Komaram Bheem Asifabad,2018-01-05,May,2018,0
Komaram Bheem Asifabad,2018-01-06,June,2018,0
Komaram Bheem Asifabad,2018-01-07,July,2018,0
Komaram Bheem Asifabad,2018-01-08,August,2018,0
Komaram Bheem Asifabad,2018-01-09,September,2018,0
Komaram Bheem Asifabad,2018-01-10,October,2018,0
Komaram Bheem Asifabad,2018-01-11,November,2018,0
Komaram Bheem Asifabad,2018-01-12,December,2018,0
Mahabubabad ,2018-01-01,January,2018,0
Mahabubabad ,2018-01-02,February,2018,0
Mahabubabad ,2018-01-03,March,2018,0
Mahabubabad ,2018-01-04,April,2018,0
Mahabubabad ,2018-01-05,May,2018,0
Mahabubabad ,2018-01-06,June,2018,0
Mahabubabad ,2018-01-07,July,2018,0
Mahabubabad ,2018-01-08,August,2018,0
Mahabubabad ,2018-01-09,September,2018,0
Mahabubabad ,2018-01-10,October,2018,0
Mahabubabad ,2018-01-11,November,2018,0
Mahabubabad ,2018-01-12,December,2018,0
Mahbubnagar,2018-01-01,January,2018,45
Mahbubnagar,2018-01-02,February,2018,29
Mahbubnagar,2018-01-03,March,2018,28
Mahbubnagar,2018-01-04,April,2018,26
Mahbubnagar,2018-01-05,May,2018,26
Mahbubnagar,2018-01-06,June,2018,26
Mahbubnagar,2018-01-07,July,2018,47
Mahbubnagar,2018-01-08,August,2018,44
Mahbubnagar,2018-01-09,September,2018,52
Mahbubnagar,2018-01-10,October,2018,37
Mahbubnagar,2018-01-11,November,2018,68
Mahbubnagar,2018-01-12,December,2018,26
Mancherial,2018-01-01,January,2018,0
Mancherial,2018-01-02,February,2018,0
Mancherial,2018-01-03,March,2018,0
Mancherial,2018-01-04,April,2018,0
Mancherial,2018-01-05,May,2018,0
Mancherial,2018-01-06,June,2018,0
Mancherial,2018-01-07,July,2018,0
Mancherial,2018-01-08,August,2018,0
Mancherial,2018-01-09,September,2018,0
Mancherial,2018-01-10,October,2018,0
Mancherial,2018-01-11,November,2018,0
Mancherial,2018-01-12,December,2018,0
Medak ,2018-01-01,January,2018,0
Medak ,2018-01-02,February,2018,0
Medak ,2018-01-03,March,2018,0
Medak ,2018-01-04,April,2018,0
Medak ,2018-01-05,May,2018,0
Medak ,2018-01-06,June,2018,0
Medak ,2018-01-07,July,2018,0
Medak ,2018-01-08,August,2018,0
Medak ,2018-01-09,September,2018,0
Medak ,2018-01-10,October,2018,0
Medak ,2018-01-11,November,2018,0
Medak ,2018-01-12,December,2018,0
Medchal ,2018-01-01,January,2018,0
Medchal ,2018-01-02,February,2018,0
Medchal ,2018-01-03,March,2018,0
Medchal ,2018-01-04,April,2018,0
Medchal ,2018-01-05,May,2018,0
Medchal ,2018-01-06,June,2018,0
Medchal ,2018-01-07,July,2018,0
Medchal ,2018-01-08,August,2018,0
Medchal ,2018-01-09,September,2018,0
Medchal ,2018-01-10,October,2018,0
Medchal ,2018-01-11,November,2018,0
Medchal ,2018-01-12,December,2018,0
Nagarkurnool ,2018-01-01,January,2018,35
Nagarkurnool ,2018-01-02,February,2018,15
Nagarkurnool ,2018-01-03,March,2018,14
Nagarkurnool ,2018-01-04,April,2018,15
Nagarkurnool ,2018-01-05,May,2018,19
Nagarkurnool ,2018-01-06,June,2018,15
Nagarkurnool ,2018-01-07,July,2018,17
Nagarkurnool ,2018-01-08,August,2018,22
Nagarkurnool ,2018-01-09,September,2018,22
Nagarkurnool ,2018-01-10,October,2018,8
Nagarkurnool ,2018-01-11,November,2018,30
Nagarkurnool ,2018-01-12,December,2018,10
Nalgonda,2018-01-01,January,2018,0
Nalgonda,2018-01-02,February,2018,0
Nalgonda,2018-01-03,March,2018,0
Nalgonda,2018-01-04,April,2018,0
Nalgonda,2018-01-05,May,2018,0
Nalgonda,2018-01-06,June,2018,0
Nalgonda,2018-01-07,July,2018,0
Nalgonda,2018-01-08,August,2018,0
Nalgonda,2018-01-09,September,2018,0
Nalgonda,2018-01-10,October,2018,0
Nalgonda,2018-01-11,November,2018,0
Nalgonda,2018-01-12,December,2018,0
Nirmal,2018-01-01,January,2018,0
Nirmal,2018-01-02,February,2018,0
Nirmal,2018-01-03,March,2018,0
Nirmal,2018-01-04,April,2018,0
Nirmal,2018-01-05,May,2018,0
Nirmal,2018-01-06,June,2018,0
Nirmal,2018-01-07,July,2018,0
Nirmal,2018-01-08,August,2018,2
Nirmal,2018-01-09,September,2018,0
Nirmal,2018-01-10,October,2018,0
Nirmal,2018-01-11,November,2018,0
Nirmal,2018-01-12,December,2018,0
Nizamabad,2018-01-01,January,2018,1
Nizamabad,2018-01-02,February,2018,0
Nizamabad,2018-01-03,March,2018,0
Nizamabad,2018-01-04,April,2018,0
Nizamabad,2018-01-05,May,2018,0
Nizamabad,2018-01-06,June,2018,0
Nizamabad,2018-01-07,July,2018,1
Nizamabad,2018-01-08,August,2018,0
Nizamabad,2018-01-09,September,2018,0
Nizamabad,2018-01-10,October,2018,0
Nizamabad,2018-01-11,November,2018,0
Nizamabad,2018-01-12,December,2018,0
Peddapalli,2018-01-01,January,2018,0
Peddapalli,2018-01-02,February,2018,0
Peddapalli,2018-01-03,March,2018,0
Peddapalli,2018-01-04,April,2018,0
Peddapalli,2018-01-05,May,2018,0
Peddapalli,2018-01-06,June,2018,0
Peddapalli,2018-01-07,July,2018,0
Peddapalli,2018-01-08,August,2018,0
Peddapalli,2018-01-09,September,2018,0
Peddapalli,2018-01-10,October,2018,0
Peddapalli,2018-01-11,November,2018,0
Peddapalli,2018-01-12,December,2018,0
Rajanna Sircilla ,2018-01-01,January,2018,0
Rajanna Sircilla ,2018-01-02,February,2018,0
Rajanna Sircilla ,2018-01-03,March,2018,0
Rajanna Sircilla ,2018-01-04,April,2018,0
Rajanna Sircilla ,2018-01-05,May,2018,0
Rajanna Sircilla ,2018-01-06,June,2018,0
Rajanna Sircilla ,2018-01-07,July,2018,0
Rajanna Sircilla ,2018-01-08,August,2018,0
Rajanna Sircilla ,2018-01-09,September,2018,0
Rajanna Sircilla ,2018-01-10,October,2018,0
Rajanna Sircilla ,2018-01-11,November,2018,0
Rajanna Sircilla ,2018-01-12,December,2018,0
Ranga Reddy,2018-01-01,January,2018,0
Ranga Reddy,2018-01-02,February,2018,0
Ranga Reddy,2018-01-03,March,2018,0
Ranga Reddy,2018-01-04,April,2018,0
Ranga Reddy,2018-01-05,May,2018,0
Ranga Reddy,2018-01-06,June,2018,0
Ranga Reddy,2018-01-07,July,2018,0
Ranga Reddy,2018-01-08,August,2018,0
Ranga Reddy,2018-01-09,September,2018,0
Ranga Reddy,2018-01-10,October,2018,0
Ranga Reddy,2018-01-11,November,2018,0
Ranga Reddy,2018-01-12,December,2018,0
Sangareddy ,2018-01-01,January,2018,0
Sangareddy ,2018-01-02,February,2018,0
Sangareddy ,2018-01-03,March,2018,0
Sangareddy ,2018-01-04,April,2018,0
Sangareddy ,2018-01-05,May,2018,0
Sangareddy ,2018-01-06,June,2018,0
Sangareddy ,2018-01-07,July,2018,0
Sangareddy ,2018-01-08,August,2018,0
Sangareddy ,2018-01-09,September,2018,0
Sangareddy ,2018-01-10,October,2018,0
Sangareddy ,2018-01-11,November,2018,0
Sangareddy ,2018-01-12,December,2018,0
Siddipet,2018-01-01,January,2018,0
Siddipet,2018-01-02,February,2018,0
Siddipet,2018-01-03,March,2018,0
Siddipet,2018-01-04,April,2018,0
Siddipet,2018-01-05,May,2018,0
Siddipet,2018-01-06,June,2018,0
Siddipet,2018-01-07,July,2018,0
Siddipet,2018-01-08,August,2018,0
Siddipet,2018-01-09,September,2018,0
Siddipet,2018-01-10,October,2018,0
Siddipet,2018-01-11,November,2018,0
Siddipet,2018-01-12,December,2018,0
Suryapet,2018-01-01,January,2018,0
Suryapet,2018-01-02,February,2018,0
Suryapet,2018-01-03,March,2018,0
Suryapet,2018-01-04,April,2018,0
Suryapet,2018-01-05,May,2018,0
Suryapet,2018-01-06,June,2018,0
Suryapet,2018-01-07,July,2018,0
Suryapet,2018-01-08,August,2018,0
Suryapet,2018-01-09,September,2018,0
Suryapet,2018-01-10,October,2018,0
Suryapet,2018-01-11,November,2018,0
Suryapet,2018-01-12,December,2018,0
Vikarabad,2018-01-01,January,2018,0
Vikarabad,2018-01-02,February,2018,0
Vikarabad,2018-01-03,March,2018,0
Vikarabad,2018-01-04,April,2018,0
Vikarabad,2018-01-05,May,2018,0
Vikarabad,2018-01-06,June,2018,0
Vikarabad,2018-01-07,July,2018,0
Vikarabad,2018-01-08,August,2018,0
Vikarabad,2018-01-09,September,2018,0
Vikarabad,2018-01-10,October,2018,0
Vikarabad,2018-01-11,November,2018,0
Vikarabad,2018-01-12,December,2018,0
Wanaparthy ,2018-01-01,January,2018,0
Wanaparthy ,2018-01-02,February,2018,0
Wanaparthy ,2018-01-03,March,2018,0
Wanaparthy ,2018-01-04,April,2018,0
Wanaparthy ,2018-01-05,May,2018,0
Wanaparthy ,2018-01-06,June,2018,0
Wanaparthy ,2018-01-07,July,2018,0
Wanaparthy ,2018-01-08,August,2018,0
Wanaparthy ,2018-01-09,September,2018,0
Wanaparthy ,2018-01-10,October,2018,0
Wanaparthy ,2018-01-11,November,2018,0
Wanaparthy ,2018-01-12,December,2018,0
Warangal (Rural),2018-01-01,January,2018,0
Warangal (Rural),2018-01-02,February,2018,0
Warangal (Rural),2018-01-03,March,2018,0
Warangal (Rural),2018-01-04,April,2018,0
Warangal (Rural),2018-01-05,May,2018,0
Warangal (Rural),2018-01-06,June,2018,0
Warangal (Rural),2018-01-07,July,2018,0
Warangal (Rural),2018-01-08,August,2018,0
Warangal (Rural),2018-01-09,September,2018,0
Warangal (Rural),2018-01-10,October,2018,0
Warangal (Rural),2018-01-11,November,2018,0
Warangal (Rural),2018-01-12,December,2018,0
Warangal (Urban),2018-01-01,January,2018,150
Warangal (Urban),2018-01-02,February,2018,185
Warangal (Urban),2018-01-03,March,2018,160
Warangal (Urban),2018-01-04,April,2018,150
Warangal (Urban),2018-01-05,May,2018,140
Warangal (Urban),2018-01-06,June,2018,130
Warangal (Urban),2018-01-07,July,2018,130
Warangal (Urban),2018-01-08,August,2018,135
Warangal (Urban),2018-01-09,September,2018,145
Warangal (Urban),2018-01-10,October,2018,160
Warangal (Urban),2018-01-11,November,2018,170
Warangal (Urban),2018-01-12,December,2018,187
Yadadri Bhongir,2018-01-01,January,2018,0
Yadadri Bhongir,2018-01-02,February,2018,0
Yadadri Bhongir,2018-01-03,March,2018,0
Yadadri Bhongir,2018-01-04,April,2018,0
Yadadri Bhongir,2018-01-05,May,2018,0
Yadadri Bhongir,2018-01-06,June,2018,0
Yadadri Bhongir,2018-01-07,July,2018,0
Yadadri Bhongir,2018-01-08,August,2018,0
Yadadri Bhongir,2018-01-09,September,2018,0
Yadadri Bhongir,2018-01-10,October,2018,0
Yadadri Bhongir,2018-01-11,November,2018,0
Yadadri Bhongir,2018-01-12,December,2018,0
Adilabad,2019-01-01,January,2019,0
Adilabad,2019-01-02,February,2019,2
Adilabad,2019-01-03,March,2019,0
Adilabad,2019-01-04,April,2019,0
Adilabad,2019-01-05,May,2019,0
Adilabad,2019-01-06,June,2019,0
Adilabad,2019-01-07,July,2019,0
Adilabad,2019-01-08,August,2019,2
Adilabad,2019-01-09,September,2019,0
Adilabad,2019-01-10,October,2019,0
Adilabad,2019-01-11,November,2019,2
Adilabad,2019-01-12,December,2019,0
Bhadradri Kothagudem ,2019-01-01,January,2019,0
Bhadradri Kothagudem ,2019-01-02,February,2019,0
Bhadradri Kothagudem ,2019-01-03,March,2019,0
Bhadradri Kothagudem ,2019-01-04,April,2019,0
Bhadradri Kothagudem ,2019-01-05,May,2019,0
Bhadradri Kothagudem ,2019-01-06,June,2019,0
Bhadradri Kothagudem ,2019-01-07,July,2019,0
Bhadradri Kothagudem ,2019-01-08,August,2019,0
Bhadradri Kothagudem ,2019-01-09,September,2019,0
Bhadradri Kothagudem ,2019-01-10,October,2019,0
Bhadradri Kothagudem ,2019-01-11,November,2019,0
Bhadradri Kothagudem ,2019-01-12,December,2019,0
Hyderabad,2019-01-01,January,2019,35920
Hyderabad,2019-01-02,February,2019,25621
Hyderabad,2019-01-03,March,2019,21929
Hyderabad,2019-01-04,April,2019,18267
Hyderabad,2019-01-05,May,2019,17317
Hyderabad,2019-01-06,June,2019,20077
Hyderabad,2019-01-07,July,2019,27874
Hyderabad,2019-01-08,August,2019,22725
Hyderabad,2019-01-09,September,2019,34018
Hyderabad,2019-01-10,October,2019,28706
Hyderabad,2019-01-11,November,2019,32762
Hyderabad,2019-01-12,December,2019,34084
Jagtial ,2019-01-01,January,2019,0
Jagtial ,2019-01-02,February,2019,0
Jagtial ,2019-01-03,March,2019,0
Jagtial ,2019-01-04,April,2019,0
Jagtial ,2019-01-05,May,2019,0
Jagtial ,2019-01-06,June,2019,0
Jagtial ,2019-01-07,July,2019,0
Jagtial ,2019-01-08,August,2019,0
Jagtial ,2019-01-09,September,2019,0
Jagtial ,2019-01-10,October,2019,0
Jagtial ,2019-01-11,November,2019,0
Jagtial ,2019-01-12,December,2019,0
Jangaon ,2019-01-01,January,2019,0
Jangaon ,2019-01-02,February,2019,0
Jangaon ,2019-01-03,March,2019,0
Jangaon ,2019-01-04,April,2019,0
Jangaon ,2019-01-05,May,2019,0
Jangaon ,2019-01-06,June,2019,0
Jangaon ,2019-01-07,July,2019,0
Jangaon ,2019-01-08,August,2019,0
Jangaon ,2019-01-09,September,2019,0
Jangaon ,2019-01-10,October,2019,0
Jangaon ,2019-01-11,November,2019,0
Jangaon ,2019-01-12,December,2019,0
Jayashankar Bhoopalpally,2019-01-01,January,2019,45
Jayashankar Bhoopalpally,2019-01-02,February,2019,0
Jayashankar Bhoopalpally,2019-01-03,March,2019,0
Jayashankar Bhoopalpally,2019-01-04,April,2019,0
Jayashankar Bhoopalpally,2019-01-05,May,2019,0
Jayashankar Bhoopalpally,2019-01-06,June,2019,0
Jayashankar Bhoopalpally,2019-01-07,July,2019,0
Jayashankar Bhoopalpally,2019-01-08,August,2019,0
Jayashankar Bhoopalpally,2019-01-09,September,2019,0
Jayashankar Bhoopalpally,2019-01-10,October,2019,0
Jayashankar Bhoopalpally,2019-01-11,November,2019,0
Jayashankar Bhoopalpally,2019-01-12,December,2019,0
Jogulamba Gadwal ,2019-01-01,January,2019,36
Jogulamba Gadwal ,2019-01-02,February,2019,6
Jogulamba Gadwal ,2019-01-03,March,2019,22
Jogulamba Gadwal ,2019-01-04,April,2019,16
Jogulamba Gadwal ,2019-01-05,May,2019,20
Jogulamba Gadwal ,2019-01-06,June,2019,22
Jogulamba Gadwal ,2019-01-07,July,2019,37
Jogulamba Gadwal ,2019-01-08,August,2019,42
Jogulamba Gadwal ,2019-01-09,September,2019,25
Jogulamba Gadwal ,2019-01-10,October,2019,13
Jogulamba Gadwal ,2019-01-11,November,2019,45
Jogulamba Gadwal ,2019-01-12,December,2019,11
Kamareddy ,2019-01-01,January,2019,0
Kamareddy ,2019-01-02,February,2019,0
Kamareddy ,2019-01-03,March,2019,0
Kamareddy ,2019-01-04,April,2019,0
Kamareddy ,2019-01-05,May,2019,0
Kamareddy ,2019-01-06,June,2019,0
Kamareddy ,2019-01-07,July,2019,0
Kamareddy ,2019-01-08,August,2019,0
Kamareddy ,2019-01-09,September,2019,0
Kamareddy ,2019-01-10,October,2019,0
Kamareddy ,2019-01-11,November,2019,0
Kamareddy ,2019-01-12,December,2019,0
Karimnagar ,2019-01-01,January,2019,0
Karimnagar ,2019-01-02,February,2019,0
Karimnagar ,2019-01-03,March,2019,0
Karimnagar ,2019-01-04,April,2019,0
Karimnagar ,2019-01-05,May,2019,0
Karimnagar ,2019-01-06,June,2019,0
Karimnagar ,2019-01-07,July,2019,0
Karimnagar ,2019-01-08,August,2019,0
Karimnagar ,2019-01-09,September,2019,0
Karimnagar ,2019-01-10,October,2019,0
Karimnagar ,2019-01-11,November,2019,0
Karimnagar ,2019-01-12,December,2019,0
Khammam,2019-01-01,January,2019,0
Khammam,2019-01-02,February,2019,0
Khammam,2019-01-03,March,2019,0
Khammam,2019-01-04,April,2019,0
Khammam,2019-01-05,May,2019,0
Khammam,2019-01-06,June,2019,0
Khammam,2019-01-07,July,2019,0
Khammam,2019-01-08,August,2019,0
Khammam,2019-01-09,September,2019,0
Khammam,2019-01-10,October,2019,0
Khammam,2019-01-11,November,2019,0
Khammam,2019-01-12,December,2019,0
Komaram Bheem Asifabad,2019-01-01,January,2019,0
Komaram Bheem Asifabad,2019-01-02,February,2019,0
